timestamp_utc,timestamp_est,airtemp_c,dewpoint_c,windchill_c,rh_pct,relairpressure_hpa,windspeed_mps,winddir_degree,precipintensity_mmph,preciptype
2025-08-07 00:00:00,2025-08-06 19:00:00,23,18.4,24.4,75,1026.8,2.4,252.1,0,0
2025-08-07 00:15:00,2025-08-06 19:15:00,22.8,18.7,24.3,78,1026.8,1.6,242.1,0,0
2025-08-07 00:30:00,2025-08-06 19:30:00,22.8,19.2,24.2,80,1027.2,1.6,239.5,0,0
2025-08-07 00:45:00,2025-08-06 19:45:00,22.7,19.2,24.1,81,1027.3,2.9,262.9,0,0
2025-08-07 01:00:00,2025-08-06 20:00:00,22.7,19.4,23.9,82,1027.6,1.7,247.9,0,0
2025-08-07 01:15:00,2025-08-06 20:15:00,22.5,19.3,23.8,82,1027.8,1.7,244.3,0,0
2025-08-07 01:30:00,2025-08-06 20:30:00,22.4,19.1,23.6,82,1027.9,2.7,235.7,0,0
2025-08-07 01:45:00,2025-08-06 20:45:00,22.4,19.4,23.5,83,1027.8,1.4,247.9,0,0
2025-08-07 02:00:00,2025-08-06 21:00:00,22.1,18.9,23.3,82,1028.1,2.5,206.4,0,0
2025-08-07 02:15:00,2025-08-06 21:15:00,22,18.6,23.1,81,1028.1,2.4,255.7,0,0
2025-08-07 02:30:00,2025-08-06 21:30:00,21.9,18.7,23,82,1028,2.6,211.1,0,0
2025-08-07 02:45:00,2025-08-06 21:45:00,21.8,18.5,22.9,82,1027.8,3.4,204.5,0,0
2025-08-07 03:00:00,2025-08-06 22:00:00,21.8,18.5,22.9,82,1028,2.7,205,0,0
2025-08-07 03:15:00,2025-08-06 22:15:00,21.8,18.4,22.8,81,1027.9,2,257.2,0,0
2025-08-07 03:30:00,2025-08-06 22:30:00,21.6,18.1,22.6,81,1028,1.9,239.4,0,0
2025-08-07 03:45:00,2025-08-06 22:45:00,21.5,18.3,22.5,82,1027.9,2.2,265.6,0,0
2025-08-07 04:00:00,2025-08-06 23:00:00,21.4,18.3,22.3,83,1028,4.2,216,0,0
2025-08-07 04:15:00,2025-08-06 23:15:00,21.1,18.1,22.3,83,1027.9,1.6,183.3,0,0
2025-08-07 04:30:00,2025-08-06 23:30:00,21,18.1,21.9,83,1027.7,1.2,188,0,0
2025-08-07 04:45:00,2025-08-06 23:45:00,20.9,17.9,21.9,83,1027.6,2.2,175.6,0,0
2025-08-07 05:00:00,2025-08-07 00:00:00,20.9,18.1,21.9,84,1027.5,2.5,188.1,0,0
2025-08-07 05:15:00,2025-08-07 00:15:00,20.8,17.9,21.9,84,1027.2,0.8,300.8,0,0
2025-08-07 05:30:00,2025-08-07 00:30:00,20.6,17.6,21.6,83,1027.1,3.5,209.7,0,0
2025-08-07 05:45:00,2025-08-07 00:45:00,20.6,17.6,21.5,83,1027,3.3,207.4,0,0
2025-08-07 06:00:00,2025-08-07 01:00:00,20.4,17.6,21.6,84,1027,2.2,235.8,0,0
2025-08-07 06:15:00,2025-08-07 01:15:00,20.2,17.4,21.5,84,1026.8,1.7,199,0,0
2025-08-07 06:30:00,2025-08-07 01:30:00,20.1,17.3,20.9,84,1026.6,2,195.5,0,0
2025-08-07 06:45:00,2025-08-07 01:45:00,19.8,17.4,20.4,86,1026.4,3.3,189.3,0,0
2025-08-07 07:00:00,2025-08-07 02:00:00,19.6,17.3,20.3,86,1026.3,2.4,207.3,0,0
2025-08-07 07:15:00,2025-08-07 02:15:00,19.6,17.2,20.2,86,1026.3,1.2,179.8,0,0
2025-08-07 07:30:00,2025-08-07 02:30:00,19.7,17,20.2,85,1026.3,2.8,206.1,0,0
2025-08-07 07:45:00,2025-08-07 02:45:00,19.4,17,20.3,86,1026.3,2.8,181.8,0,0
2025-08-07 08:00:00,2025-08-07 03:00:00,19.1,17,20.1,88,1026.3,2,194.6,0,0
2025-08-07 08:15:00,2025-08-07 03:15:00,18.9,17,19.8,88,1026.1,0.6,209.1,0,0
2025-08-07 08:30:00,2025-08-07 03:30:00,18.8,16.8,19.8,88,1026.3,1.7,184.8,0,0
2025-08-07 08:45:00,2025-08-07 03:45:00,18.7,16.6,19.7,88,1026.2,1.5,167.8,0,0
2025-08-07 09:00:00,2025-08-07 04:00:00,18.6,16.4,19.6,87,1026.2,1.8,180.7,0,0
2025-08-07 09:15:00,2025-08-07 04:15:00,18.5,16.3,19.5,87,1026.3,1.2,191.8,0,0
2025-08-07 09:30:00,2025-08-07 04:30:00,18.5,16.2,19.4,86,1026.3,1.2,205.8,0,0
2025-08-07 09:45:00,2025-08-07 04:45:00,18.4,16,19.3,86,1026.3,1.6,168.5,0,0
2025-08-07 10:00:00,2025-08-07 05:00:00,18.4,16,19.4,86,1026.4,1.5,183.2,0,0
2025-08-07 10:15:00,2025-08-07 05:15:00,18.5,15.8,19.2,84,1026.4,1.4,173.7,0,0
2025-08-07 10:30:00,2025-08-07 05:30:00,18.5,15.7,19.3,84,1026.5,0.8,153.4,0,0
2025-08-07 10:45:00,2025-08-07 05:45:00,18.6,15.7,19.3,83,1026.6,1.7,211.4,0,0
